role_id,role_name,category,summary,skills,tools,career_keywords,learning_path,popularity
data_scientist,Data Scientist,Data & AI,Turn complex data into experiments predictions and decisions using statistics and machine learning.,Python|SQL|Statistics|Machine Learning|Data Visualization,Pandas|scikit-learn|Jupyter|Tableau,predictive modeling|experimentation|insights|data products,Strengthen statistics|Practice data cleaning|Build predictive models|Communicate business impact,95
ml_engineer,Machine Learning Engineer,Data & AI,Build reliable machine learning services and move models from notebooks into production systems.,Python|Machine Learning|Deep Learning|REST APIs|Software Engineering,PyTorch|TensorFlow|Docker|FastAPI,model deployment|feature engineering|inference|production AI,Master ML foundations|Build model APIs|Learn containers|Monitor production models,94
ai_engineer,AI Engineer,Data & AI,Create AI-enabled products that combine language vision retrieval and application engineering.,Python|Artificial Intelligence|NLP|REST APIs|Cloud Computing,OpenAI API|Hugging Face|FastAPI|Docker,generative AI|retrieval|agents|AI products,Learn applied AI patterns|Build a retrieval app|Add evaluation|Deploy responsibly,93
data_engineer,Data Engineer,Data & AI,Design dependable data pipelines and platforms that make high-quality data available at scale.,Python|SQL|ETL|Data Modeling|Cloud Computing,Apache Spark|Airflow|dbt|Snowflake,data pipelines|warehousing|batch processing|data quality,Master advanced SQL|Model analytical data|Orchestrate pipelines|Add observability,91
mlops_engineer,MLOps Engineer,Data & AI,Automate the training deployment governance and monitoring lifecycle of machine learning systems.,Python|Machine Learning|CI/CD|Kubernetes|Cloud Computing,MLflow|Docker|Kubernetes|GitHub Actions,model operations|experiment tracking|model registry|automation,Learn ML lifecycle risks|Containerize inference|Automate deployment|Monitor drift,89
data_analyst,Data Analyst,Data & Analytics,Translate operational data into clear metrics dashboards and recommendations for stakeholders.,SQL|Statistics|Data Visualization|Excel|Business Intelligence,Power BI|Tableau|Pandas|Excel,reporting|dashboards|business questions|analytics,Master SQL analysis|Learn descriptive statistics|Design dashboards|Present recommendations,92
bi_developer,Business Intelligence Developer,Data & Analytics,Build governed semantic models and interactive reporting experiences for business teams.,SQL|Business Intelligence|Data Modeling|Data Visualization|ETL,Power BI|DAX|dbt|SQL Server,semantic models|reporting|metrics|decision support,Learn dimensional modeling|Write advanced DAX|Build governed metrics|Optimize dashboards,86
backend_developer,Backend Developer,Software Engineering,Create secure APIs domain logic and data services that power web and mobile products.,Python|Java|SQL|REST APIs|Software Engineering,Spring Boot|FastAPI|PostgreSQL|Docker,backend systems|microservices|business logic|scalable APIs,Master one backend language|Design REST APIs|Model relational data|Add tests and security,94
frontend_developer,Frontend Developer,Software Engineering,Build accessible responsive and high-quality user experiences for the web.,JavaScript|TypeScript|HTML|CSS|React,React|Vue|Angular|Figma,user interface|web performance|accessibility|design systems,Master browser fundamentals|Learn TypeScript|Build component systems|Test accessibility,93
fullstack_developer,Full Stack Developer,Software Engineering,Deliver complete web features across interface APIs persistence and deployment.,JavaScript|TypeScript|Node.js|SQL|REST APIs,React|Node.js|PostgreSQL|Docker,end-to-end delivery|web applications|product engineering|APIs,Build frontend foundations|Create backend APIs|Connect a database|Deploy a full product,92
mobile_developer,Mobile Developer,Software Engineering,Create polished native or cross-platform applications for phones and tablets.,JavaScript|TypeScript|Mobile Development|REST APIs|UI Design,React Native|Flutter|Firebase|Figma,mobile apps|device capabilities|app stores|cross-platform,Learn mobile UI patterns|Consume APIs|Use device features|Release a production build,84
qa_automation_engineer,QA Automation Engineer,Software Quality,Design automated quality systems that catch regressions across interfaces APIs and delivery pipelines.,Test Automation|Quality Assurance|Python|REST APIs|CI/CD,Playwright|Selenium|Postman|GitHub Actions,quality engineering|regression|test strategy|automation,Master testing fundamentals|Automate browser flows|Test APIs|Integrate quality gates,88
devops_engineer,DevOps Engineer,Cloud & Infrastructure,Automate infrastructure delivery and operational workflows so teams can ship safely and frequently.,Linux|Cloud Computing|CI/CD|Infrastructure as Code|Kubernetes,Docker|Terraform|Kubernetes|GitHub Actions,automation|platform engineering|deployment|infrastructure,Learn Linux and networking|Containerize services|Automate pipelines|Provision cloud infrastructure,93
cloud_architect,Cloud Architect,Cloud & Infrastructure,Design secure resilient and cost-aware cloud platforms aligned with product and business needs.,Cloud Computing|AWS|Azure|Infrastructure as Code|System Design,Terraform|Kubernetes|AWS|Azure,cloud architecture|resilience|cost optimization|migration,Master cloud fundamentals|Design distributed systems|Automate infrastructure|Practice architecture reviews,90
sre,Site Reliability Engineer,Cloud & Infrastructure,Use software engineering to improve reliability performance and incident response for live systems.,Linux|Python|Cloud Computing|Kubernetes|Observability,Prometheus|Grafana|Docker|Kubernetes,reliability|SLOs|incident response|performance,Learn systems fundamentals|Define SLOs|Build observability|Automate incident response,87
solutions_architect,Solutions Architect,Architecture,Translate complex requirements into integrated technical solutions and clear implementation roadmaps.,System Design|Cloud Computing|REST APIs|Data Modeling|Communication,AWS|Azure|UML|Postman,solution design|integration|technical discovery|architecture,Strengthen system design|Model integrations|Practice trade-off analysis|Present architecture decisions,88
cybersecurity_analyst,Cybersecurity Analyst,Security,Detect investigate and reduce security risk across applications networks and cloud environments.,Cybersecurity|Linux|Networking|Python|Cloud Computing,Wireshark|SIEM|Nmap|Burp Suite,threat detection|incident response|vulnerability management|risk,Learn networking deeply|Practice threat analysis|Automate security checks|Study cloud security,91
database_administrator,Database Administrator,Data Platforms,Keep critical databases available secure performant and recoverable.,SQL|Data Modeling|Database Administration|Linux|Cloud Computing,PostgreSQL|SQL Server|Oracle|AWS,database performance|backup|recovery|availability,Master relational databases|Tune queries and indexes|Automate backups|Plan high availability,82
